,category,link,name
91,psychology,@Psychologs,Психология отношений
92,psychology,@sozds,Создавай себя
93,psychology,@PsyEducation,Психология
94,psychology,@studyhardmotivation,📚 Study motivation — Мотивация к учёбе
95,psychology,@ikyklovod,Кукловод | Психология | Развитие
96,psychology,@realnosti_transerfing,Трансерфинг реальности
97,psychology,@RebKli,Манипулятор
98,psychology,@halyavapapochka,Халява от Папочки
99,psychology,@iEthical,Этикет и Культура
100,marketing,@FamilyBots,Семейка ботов
101,marketing,@tiktokdr,ДИРЕКТОР ТИК ТОКА
102,marketing,@sale_caviar,кабачковая икра по акции
103,marketing,@smmrus,Русский маркетинг
104,marketing,@marzaganoff,Марзаганов вещает
105,marketing,@prbezposhady,Беспощадный пиарщик
106,marketing,@prodvizhenie_instagraml,ПОДПИСЧИКИ ТИКТОК ВК
107,marketing,@instagram_vk_telegram,НАКРУТКА ДЁШЕВО
108,marketing,@MarketingPloy,Маркетинговый ход
109,marketing,@INSTAumka,Инстаграмотность
110,sport,@sportsru,Sports.ru
111,sport,@goal24_rus,GOAL24
112,sport,@QryaProDucktion,Настоящий РадиоУткин
113,sport,@Match_TV,Матч ТВ
114,sport,@rflive,Реальный Футбол LIVE
115,sport,@maincard_rus,Main Card
116,sport,@mainfootball_ru,Main Football
117,sport,@rfinsidenews,INSIDE | Новости футбола
118,sport,@rfinsidetransfers,INSIDE | Трансферы
119,sport,@refoot,Реальный Футбол
120,travels,@vandroukiru,RU|Способы путешествовать почти бесплатно
121,travels,@kudagospb,KudaGo: Петербург
122,travels,@National_Geograph1c,National Geographic
123,travels,@travelradar,"TravelRadar — дешевые авиабилеты, туры, путешествия"
124,travels,@samokatus,Самокатус
125,travels,@fpcrussia,Вагон скидок
126,travels,@VTurisme,"В Туризме - Поиск путешествий, авиабилеты, туры!"
127,travels,@sanya_florida,Саня во Флориде
128,travels,@America_Inside,America Inside
129,travels,@travelyut_turizm,Путешествия в Уютные Ебеня
130,games,@free2pIay,Free to play
131,games,@android_5play,5PLAY⚡️Игры для Android
132,games,@bat9evelone192,БОЛЬШАЯ НОЗДРЯ
133,games,@dnclserv,Null's Brawl | Null's Clash | Null's Royale | Нулс
134,games,@mobi_mes,Mobimes - мобильные игры
135,games,@standoffcheatix,"⚡️STANDOFF 2 | Промокоды, Читы"
136,games,@hackess,⚡️VANBAY | Промокоды & Читы
137,games,@av_games,Безумный Дейв
138,games,@TrueMafiaNews,True Mafia News
139,games,@meels_kel,Милс Кел (Play)
140,beauty,@alyatrend,Аля про AliExpress
141,beauty,@AlexisKissAliexpress,AlexisKiss_aliexpress
142,beauty,@irilook,Irilook
143,beauty,@modnailru,Маникюр | Ногти
144,beauty,@sncmag,Антиглянец
145,beauty,@manikyur_nogty,IDEAL Маникюр | Ногти
146,beauty,@vrednayamoda,Вредная Мода ✨ VREDNAYAMODA ✨ Aliexpress
147,beauty,@fashion_mur,MUR
148,beauty,@zhidkovskiy,Роскошь бутиков
149,beauty,@nogti_r,"Оп,маникюрчик 💕"
150,education,@otveti_aa,Ответы ОГЭ ЕГЭ 2021
151,education,@otvety100ball,ОТВЕТЫ ЕГЭ ОГЭ❗️
152,education,@spisano_na_5,Ответы ВПР ОГЭ ЕГЭ
153,education,@otvetion,ОТВЕТЫ ОГЭ пересдача ЕГЭ
154,education,@oge_fast,OGEFAST
155,education,@otveti_putins2021,ИТОГОВОЕ СОЧИНЕНИЕ 2021
156,education,@studyqa,"StudyQA - гранты, стипендии, обучение за рубежом"
157,education,@samorazvitie11,planning | study | учеба
158,education,@OTVETI_EGE,ОТВЕТЫ ! НА ЕГЭ РЕЗЕРВ 2021г !
159,education,@gootveti,ОТВЕТЫ ОГЭ 2021/22
160,books,@ikniga,Книги на миллион | бизнес блог
161,books,@flibusta_anglysky,Подкасты | Книги | Аудиокниги
162,books,@AUDIOKNIGI_CHANNEL,Аудиокниги
163,books,@flibusta,Книжное братство
164,books,@progbook,Книги для программистов
165,books,@knizhnikc,Книжник
166,books,@amazingbooks,Книги и Аудиокниги Flibusta
167,books,@flibustabooks,Flibusta | Книги | Аудиокниги | @flibustafreebookbot
168,books,@Chitat_onlain_Biblioteka,Читать онлайн | Библиотека
169,books,@bookfromstud,Книги от Студента
170,food,@eda2021,Real Food
171,food,@Okkal,0Kkal - Низкокалорийные рецепты
172,food,@receptOK,Книга рецептов
173,food,@p_rezepty,Полезные Рецепты | Здоровье | Красота
174,food,@thesaltmagazine,Соль
175,food,@sysoevfm,СысоевFM
176,food,@shecook,Шедевры кулинарии
177,food,@ppreceptiki,ПП Рецепты | Здоровое питание
178,food,@FastRecepts,Быстрые рецепты
179,food,@v_poiskax_chuda,Кофе и билеты (в Петербурге)
180,career,@theyseeku,Finder.vc: удаленная работа - вакансии
181,career,@horseatwork,КОНЬ НА РАБОТЕ
182,career,@zapwork,Удалёнщики | удаленная работа
183,career,@workzavr,Workzavr | Фриланс и Удалёнка
184,career,@south_work,"Рабочий Парк: вакансии, стажировки, волонтёрские программы"
185,career,@Profenture,Profenture: стажировки и волонтерство
186,career,@Udalenka7,ФРИЛАНС ВАКАНСИИ | УДАЛЕННАЯ РАБОТА
187,career,@workoo,Ворку | Фриланс | Удаленка
188,career,@promopoisk,Интересная работа в Москве и на удаленке
189,career,@vakansii5,УДАЛЕННАЯ РАБОТА | ФРИЛАНС | ВАКАНСИИ
190,transport,@auto_instruktor,Автоинструктор
191,transport,@imehanik,МЕХАНИК
192,transport,@auto_inspektor,Инспектор
193,transport,@driverone,За рулём
194,transport,@DtRoad,Дептранс Москвы💉
195,transport,@mechanictg,Я Же Механик!
196,transport,@pravilad,Правила жизни на дороге
197,transport,@spbmetro,Метро Петербурга
198,transport,@autobespredel,АВТО БЕСПРЕДЕЛ
199,transport,@firstgear_channel,Первая передача
200,health,@bzdorov,Будем здоровы
201,health,@KatiaTxiLive,Katia Txi
202,health,@fiztransform,Physical Transformation
203,health,@zdorovyetop,Бесплатное здоровье. Рецепты красоты.
204,health,@prostoozdorovie,Просто о здоровье
205,health,@Xudaya,Худая.
206,health,@runforhealth,Бегать просто
207,health,@krasota_11,Красота и Здоровье
208,health,@morozovastasy,Морозова ху(д)еет
209,health,@healthy_you_official,Здоровье | Healthy You
210,religion,@nashidy,Нашиды | Ислам | Коран
211,religion,@dokinz,ДОКИНЗ
212,religion,@kvmalofeev,Константин Малофеев
213,religion,@umorxtele,Юмор✖️Телеграм
214,religion,@umma_ru,umma.ru Шамиль Аляутдинов
215,religion,@batyushky,Батюшки
216,religion,@pavelostrovski,Священник Павел Островский
217,religion,@islam_semua,Семья в Исламе
218,religion,@kniga_pdf,Исламские книги PDF
219,religion,@semua_islam,Семья в Исламе🌸
220,telegram,@durov_russia,Павел Дуров
221,telegram,@languagetg,Языки и темы для телеграмма
222,telegram,@setlanguagetelegram,Языки для телеграма
223,telegram,@yaziki_tema_language,Языки телеграмма
224,telegram,@liligy,Языки и темы для телеграмма
225,telegram,@teleblog,Телеблог
226,telegram,@secretship,Secretship
227,telegram,@birzhaP,Биржа | Реклама | Каналы
228,telegram,@Tblog,Tblog - блог Telegram
229,telegram,@vkfindfacea,Поиск по фото
230,language,@fuckingenglish,Fucking English | Английский язык 18+
231,language,@ruGrammar,Русский язык (Грамотность)
232,language,@slovar_psikhologia,Словарный запас | Саморазвитие
233,language,@deutschonline,Немецкий язык
234,language,@ieltstoeflcefrr,🇬🇧 Learn English 🇬🇧
235,language,@debilenglish,английский для дебилов
236,language,@mnemo_english,Как Я учу английский
237,language,@englishwithstud,English with Student
238,language,@vcblr,Вокабуля́рий | Русский | Грамотность
239,language,@slangbang,Slang Bang! / Слэнг Бэнг!
240,instagram,@presety,Пресеты Лайтрум | Presets Lightroom
241,instagram,@ClubHouseDr,ДИРЕКТОР ИНСТАГРАМ ✅
242,instagram,@jenskiydom,Женский домик
243,instagram,@BitchInsta,Bitch.
244,instagram,@persefoone,Все для твоих сторис💃
245,instagram,@bitch_storie,𝙱𝚒𝚝𝚌𝚑 𝚂𝚝𝚘𝚛𝚒𝚎 | Сторисы
246,instagram,@stories_for_inst,Stories insta 📸🎥
247,instagram,@insta_storyes,инста сторис 💞
248,instagram,@for_stories,ДЛЯ ТВОИХ ИСТОРИЙ🐁
249,instagram,@storiyessgirl,девчачий уголок
250,apps,@EasyAPK,📲 Easy APK
251,apps,@foxyapk,FoxyAPK
252,apps,@progi95,Крутые проги
253,apps,@vseapps,Вселенная приложений
254,apps,@bz2018,Полезные приложения
255,apps,@FreeDroidApp,FreeDroid
256,apps,@pm_plus,📱Play Market +
257,apps,@PointApp,Point App
258,apps,@prostoapk,PRO100 APK
259,apps,@VKCoffee,VK Coffee
260,nature,@priroda_animal,Live Nature
261,nature,@priroda_zhivotnye,Real Nature
262,nature,@dangplanet,Жуткая планета
263,nature,@animal_planeta,Animal Planet
264,nature,@zlie_animals,Bloody Animals
265,nature,@cats_cats,Бляцкие коты
266,nature,@BehindTheOceann,За гранью океана
267,nature,@pidrasi,шерстяные пидарасы
268,nature,@ngwild,Nat Geo Wild
269,nature,@OurOcean,Тайны Океанов 🐋
270,construction,@mykvrt,Моя квартира
271,construction,@builder_stroika,Умный Строитель
272,construction,@alexishome,Alexis_home
273,construction,@macters,МАСТЕР
274,construction,@mydaca,Моя дача
275,construction,@postroim_dom,Построим свой дом | Строительство своими руками
276,construction,@alishopping_home,Алиэкспресс Home✨
277,construction,@histiry_quiz,История в опросах
278,construction,@dom_design,Дизайн 🌿 Design
279,construction,@proektdom,Проекты домов | Строительство | Плaниpoвкa
280,esoterics,@astrotmbl,Астрология | Гороскоп | Таро
281,esoterics,@tg_horoscope,Любовный Гороскоп💕
282,esoterics,@dishka_h,Самые мощные техники🤍
283,esoterics,@eHoroscope,Необычный Гороскоп | Astrology 🌙
284,esoterics,@goroscope2020,😇Судьбоносный Гороскоп 😈
285,esoterics,@lulagoroskop,Гороскоп цыганки Луладжи
286,esoterics,@goroskop_zvezdi,Гороскоп🎆 Что скажут звёзды 💫
287,esoterics,@myastrologer,МОЙ ЛЮБИМЫЙ АСТРОЛОГ✨
288,esoterics,@astrology_ru,Astrology | Гороскоп
289,esoterics,@horoscope_send,Гороскоп 🌌
290,medicine,@anatomy_theater,Анатомический театр
291,medicine,@helenkornilova,Helena Kornilova / Елена Корнилова
292,medicine,@magerya,Магеря Илья
293,medicine,@DocBergman,Доктор Бергман. Наука долголетия
294,medicine,@anti_covid21,🔥Ковид Сопротивление🔥
295,medicine,@ManPotency,Мистер Х | Мужское здоровье
296,medicine,@OurB0di,Наше тело
297,medicine,@namochimanturu,Намочи манту
298,medicine,@medical_secrecy,ВРАЧЕБНАЯ ТАЙНА
299,medicine,@narodniy_medic,НАРОДНЫЙ МЕДИК
300,babies,@gosuslugiforparents,Госуслуги: для родителей
301,babies,@detskoemenu,Детское меню
302,babies,@shkolashar,Школа Адекватных Родителей
303,babies,@RoditeliDetiru,Родители и Дети. Психология отношений
304,babies,@aliexspresskids,AliExpressДети
305,babies,@papiny_skazki_official,Папины сказки (official) аудиосказки :)
306,babies,@deti_rebenok,Дети | Образование и Воспитание
307,babies,@besedki_nasedki,Беседки наседки
308,babies,@papi_mami_deti,Папы и Мамы • Воспитание Детей
309,babies,@vospitay_detey_tg,Мама • Ребенок • Семья • Воспитание
310,design,@photoshop_hack,Фотошоп | Фотография | Дизайн
311,design,@phtgr,ФотоГуру | Фотошоп и Дизайн
312,design,@design_telega,Дизайн-Телега 🔥
313,design,@designdealer,Designdealer
314,design,@shrift_free,Бесплатные шрифты
315,design,@figmaplugin,Figma Design
316,design,@photoshopforyou,Photoshop
317,design,@illstrtr,Иллюстратор | Графика и Дизайн
318,design,@fontsch,Fonts
319,design,@posterino,Posterino | искусство плаката
320,art,@kartiny,Картины. Живопись. Искусство
321,art,@simpleartist,"Художник, рисуй!"
322,art,@spiro_graph,Книги для творческих
323,art,@pic_history,История одной картины
324,art,@insanity_gallery,Insanity Gallery
325,art,@darkmgimo,Бахчисарайские гвоздики
326,art,@Art_ardez,Галерея Ardezart
327,art,@chernoemoree,Черноморский Круиз
328,art,@zakuliska,Закулиска
329,art,@iskusstvoTG,Искусство
330,catalogs,@TGRobots,TGRobots | Боты
331,catalogs,@tmbots,Полезные боты
332,catalogs,@chagram,Каналы Telegram - каталог
333,catalogs,@kureromsd_zakladchikomfjr,RABOTA ZARABOTOK
334,catalogs,@kureromssl_zakladchikomdssl,Работа Владивосток Калининград
335,catalogs,@openbusines,"Каталог Telegram каналов, ботов"
336,catalogs,@katalo4eg,Каталог Каналов Телеграм
337,catalogs,@botcollection,Botcollection
338,catalogs,@CatalogTelegram,Каталог Telegram
339,catalogs,@link_ru,Каналы Телеграм
340,law,@Jurist,ЮРИСТ ЕВГЕНИЙ ШУПИКОВ
341,law,@advokatski,Защитник закона
342,law,@ovdinfo,ОВД-Инфо
343,law,@povorotnapravo,Поворот на Право
344,law,@avtozaklive,Avtozak LIVE
345,law,@apologia,Апология 📢🇷🇺
346,law,@advokatzhorin,Адвокат Жорин
347,law,@yurist_tgm,Юридические советы * Законы
348,law,@pchikov,Павел Чиков
349,law,@anon_prok,Анонимный прокурор
350,courses,@free_edu,Бесплатное образование
351,courses,@moe_obrazovanie,Мое Образование
352,courses,@sharewood_ws,SHAREWOOD
353,courses,@lektorium20,Лекториум
354,courses,@sliv_ot_blogerov,"𝕊𝕃𝕀𝕍 𝕆𝕋 𝔹𝕃𝕆𝔾𝔼ℝ𝕆𝕍 | Курсы, чек-листы, марафоны"
355,courses,@sharewood_biz,Сундук Робина
356,courses,@brainsstorming,Business 🍏 Storm
357,courses,@sliv_freedom,ГАЙДЫ free «Сливы»
358,courses,@plumcore,PlumCore University
359,courses,@polezno_chek,🔗POLEZNO🔗
360,handmade,@rucami,Своими руками
361,handmade,@delotex,ДЕЛО ТЕХНИКИ
362,handmade,@cdelaycam1,Сделай Сам
363,handmade,@grad_masterov,ГОРОД МАСТЕРОВ | Рукоделие
364,handmade,@urokishitya,Шитье | Выкройки | Уроки шитья
365,handmade,@kniga_ruk,Книга рукодельниц
366,handmade,@Samodelkino,Сделай сам
367,handmade,@lazy_sewing,Ленивое шитье
368,handmade,@Magicneedle,Стильное вязание
369,handmade,@svoimirukam,Своими руками
370,lifehack,@etoVZ,Взрослая жизнь
371,lifehack,@mir_hitrostej,Мир хитростей
372,lifehack,@lifehachruse,Полезные советы | Лайфхаки
373,lifehack,@progressivehozyaika,Прогрессивная хозяйка
374,lifehack,@silnoprosto,А что так можно было?
375,lifehack,@umnoj_talanti,БЫТОВЫЕ СОВЕТЫ
376,lifehack,@klaslayf,Классные лайфхаки
377,lifehack,@krutlayf,Крутые лайфхаки
378,lifehack,@ymelaia_hozaika,Умелая Хозяйка
379,lifehack,@days_halyava,Ежедневник - Скидки тут
380,gambling,@mellstroy_melbet1,СТАВКИ НА СПОРТ|ПРОГНОЗЫ
381,gambling,@Stavka_rabota0,Заработок |Халява|Деньги
382,gambling,@Grand_jk,ГРАНД 5 | Новенький 2
383,gambling,@sexh7,Бесплатные ставки на спорт
384,gambling,@tt_1xbet,1XBET | Бонусы | Ставки
385,gambling,@stavki_sport_coronavirus_1xbet,СТАВКИ🚀НА СПОРТ🚀ПРОГНОЗЫ🚀КОРОНАВИРУС🚀ЗАРАБОТОК🚀БЕСПЛАТНО🚀ЭДВАРД🚀ФУТБОЛ🚀FORASPORT
386,gambling,@futbol_1xbetq,СТАВКИ НА СПОРТ|ПРОГНОЗЫ
387,gambling,@mellstroy_dvij_bonus,MELLSTROY
388,gambling,@csgomajor,РАЙЗ ЛАВ Ю
389,gambling,@futbol_bolzham_prognozy1,Ставки на Спорт
